supertype_color,class_color,class_label,subclass_color,subclass_label,supertype_label,value,class_bigwig,subclass_bigwig,supertype_bigwig
#99822E,#FA0087,IT-ET Glut,#64c2fc,CLA-EPd-CTX Car3 Glut,CLA-EPd-CTX Car3 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CLA_EPd_CTX_Car3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CLA_EPd_CTX_Car3_Glut_1.bw
#170F66,#FA0087,IT-ET Glut,#64c2fc,CLA-EPd-CTX Car3 Glut,CLA-EPd-CTX Car3 Glut_2,100,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CLA_EPd_CTX_Car3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CLA_EPd_CTX_Car3_Glut_2.bw
#994563,#FA0087,IT-ET Glut,#1F665D,IT EP-CLA Glut,IT EP-CLA Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_EP_CLA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_EP_CLA_Glut_1.bw
#1F4666,#FA0087,IT-ET Glut,#1F665D,IT EP-CLA Glut,IT EP-CLA Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_EP_CLA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_EP_CLA_Glut_2.bw
#694599,#FA0087,IT-ET Glut,#1F665D,IT EP-CLA Glut,IT EP-CLA Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_EP_CLA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_EP_CLA_Glut_3.bw
#5CAACC,#FA0087,IT-ET Glut,#1F665D,IT EP-CLA Glut,IT EP-CLA Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_EP_CLA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_EP_CLA_Glut_4.bw
#952E99,#FA0087,IT-ET Glut,#C0FF4D,L6 IT CTX Glut,L6 IT CTX Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L6_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L6_IT_CTX_Glut_1.bw
#2E5266,#FA0087,IT-ET Glut,#C0FF4D,L6 IT CTX Glut,L6 IT CTX Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L6_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L6_IT_CTX_Glut_2.bw
#661799,#FA0087,IT-ET Glut,#C0FF4D,L6 IT CTX Glut,L6 IT CTX Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L6_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L6_IT_CTX_Glut_3.bw
#991759,#FA0087,IT-ET Glut,#C0FF4D,L6 IT CTX Glut,L6 IT CTX Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L6_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L6_IT_CTX_Glut_4.bw
