class_label,subclass_label,supertype_label
IT-ET Glut,CLA-EPd-CTX Car3 Glut,CLA-EPd-CTX Car3 Glut_1
IT-ET Glut,CLA-EPd-CTX Car3 Glut,CLA-EPd-CTX Car3 Glut_2
IT-ET Glut,IT EP-CLA Glut,IT EP-CLA Glut_1
IT-ET Glut,IT EP-CLA Glut,IT EP-CLA Glut_2
IT-ET Glut,IT EP-CLA Glut,IT EP-CLA Glut_3
IT-ET Glut,IT EP-CLA Glut,IT EP-CLA Glut_4
IT-ET Glut,L6 IT CTX Glut,L6 IT CTX Glut_1
IT-ET Glut,L6 IT CTX Glut,L6 IT CTX Glut_2
IT-ET Glut,L6 IT CTX Glut,L6 IT CTX Glut_3
IT-ET Glut,L6 IT CTX Glut,L6 IT CTX Glut_4
IT-ET Glut,L6 IT CTX Glut,L6 IT CTX Glut_5
IT-ET Glut,L5 IT CTX Glut,L5 IT CTX Glut_1
IT-ET Glut,L5 IT CTX Glut,L5 IT CTX Glut_2
IT-ET Glut,L5 IT CTX Glut,L5 IT CTX Glut_3
IT-ET Glut,L5 IT CTX Glut,L5 IT CTX Glut_4
IT-ET Glut,L5 IT CTX Glut,L5 IT CTX Glut_5
IT-ET Glut,IT AON-TT-DP Glut,IT AON-TT-DP Glut_1
IT-ET Glut,IT AON-TT-DP Glut,IT AON-TT-DP Glut_2
IT-ET Glut,IT AON-TT-DP Glut,IT AON-TT-DP Glut_3
IT-ET Glut,IT AON-TT-DP Glut,IT AON-TT-DP Glut_4
IT-ET Glut,IT AON-TT-DP Glut,IT AON-TT-DP Glut_5
IT-ET Glut,L2 IT ENT-po Glut,L2 IT ENT-po Glut_2
IT-ET Glut,L2 IT ENT-po Glut,L2 IT ENT-po Glut_3
IT-ET Glut,L2 IT ENT-po Glut,L2 IT ENT-po Glut_4
IT-ET Glut,MEA Slc17a7 Glut,MEA Slc17a7 Glut_1
IT-ET Glut,MEA Slc17a7 Glut,MEA Slc17a7 Glut_2
IT-ET Glut,MEA Slc17a7 Glut,MEA Slc17a7 Glut_3
IT-ET Glut,COAp Grxcr2 Glut,COAp Grxcr2 Glut_1
IT-ET Glut,COAp Grxcr2 Glut,COAp Grxcr2 Glut_2
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_1
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_2
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_3
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_4
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_5
IT-ET Glut,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_6
IT-ET Glut,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_1
IT-ET Glut,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_2
IT-ET Glut,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_3
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_1
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_2
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_3
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_4
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_5
IT-ET Glut,CA1-ProS Glut,CA1-ProS Glut_6
