,path,value,color
0,root/IT-ET Glut,1,#FA0087
1,root/NP-CT-L6b Glut,1,#61e2a4
2,root/DG-IMN Glut,1,#16f2f2
3,root/LSX GABA,1,#B199FF
4,root/CNU-HYa GABA,1,#3283FE
5,root/HY GABA,1,#450099
6,root/CNU-HYa Glut,1,#FF6600
7,root/HY Glut,1,#90E0EF
8,root/HY Gnrh1 Glut,1,#AA0DFE
9,root/HY MM Glut,1,#F28266
10,root/MH-LH Glut,1,#01d669
11,root/TH Glut,1,#FAA307
12,root/MB Glut,1,#0D47A1
13,root/MB GABA,1,#007200
14,root/MB Dopa,1,#9EF01A
15,root/P Glut,1,#EC4067
16,root/MY Glut,1,#6b5ca5
17,root/Pineal Glut,1,#F0A0FF
18,root/P GABA,1,#086375
19,root/MY GABA,1,#72195a
20,root/CB GABA,1,#0096C7
21,root/CB Glut,1,#FFFB46
22,root/Astro-Epen,1,#9D0208
23,root/OPC-Oligo,1,#594a26
24,root/OEC,1,#03045E
25,root/Vascular,1,#996B2E
26,root/Immune,1,#858881
27,root/IT-ET Glut/CLA-EPd-CTX Car3 Glut,1,#64c2fc
28,root/IT-ET Glut/IT EP-CLA Glut,1,#1F665D
29,root/IT-ET Glut/L6 IT CTX Glut,1,#C0FF4D
30,root/IT-ET Glut/L5 IT CTX Glut,1,#660F38
31,root/IT-ET Glut/IT AON-TT-DP Glut,1,#FF004B
32,root/IT-ET Glut/L2 IT ENT-po Glut,1,#3DCCB7
33,root/IT-ET Glut/MEA Slc17a7 Glut,1,#456C99
34,root/IT-ET Glut/COAp Grxcr2 Glut,1,#61CC5C
35,root/IT-ET Glut/LA-BLA-BMA-PA Glut,1,#BBFF73
36,root/IT-ET Glut/ENTmv-PA-COAp Glut,1,#B6CC7A
37,root/IT-ET Glut/CA1-ProS Glut,1,#0F3466
38,root/IT-ET Glut/CA3 Glut,1,#C973FF
39,root/IT-ET Glut/L2 IT PPP-APr Glut,1,#0F6632
40,root/IT-ET Glut/L4 RSP-ACA Glut,1,#FFF226
41,root/IT-ET Glut/L5 ET CTX Glut,1,#99A2FF
42,root/IT-ET Glut/SUB-ProS Glut,1,#FF9999
43,root/IT-ET Glut/L5 PPP Glut,1,#6B995C
44,root/IT-ET Glut/CA2-FC-IG Glut,1,#FF7391
45,root/IT-ET Glut/NLOT Rho Glut,1,#FFD573
46,root/NP-CT-L6b Glut/L6b EPd Glut,1,#CC827A
47,root/NP-CT-L6b Glut/L6b CTX Glut,1,#9EFF99
48,root/NP-CT-L6b Glut/L6 CT CTX Glut,1,#34661F
49,root/NP-CT-L6b Glut/CT SUB Glut,1,#440066
50,root/NP-CT-L6b Glut/L5 NP CTX Glut,1,#7B7ACC
51,root/NP-CT-L6b Glut/NP SUB Glut,1,#99CAFF
52,root/NP-CT-L6b Glut/NP PPP Glut,1,#B8FF26
53,root/DG-IMN Glut/DG Glut,1,#CC2400
54,root/DG-IMN Glut/DG-PIR Ex IMN,1,#3D53CC
55,root/LSX GABA/LSX Sall3 Pax6 Gaba,1,#006649
56,root/LSX GABA/LSX Otx2 Gaba,1,#229917
57,root/LSX GABA/LSX Nkx2-1 Gaba,1,#CCA43D
58,root/LSX GABA/LSX Prdm12 Zeb2 Gaba,1,#0067FF
59,root/LSX GABA/LSX Prdm12 Slit2 Gaba,1,#1F6625
60,root/LSX GABA/LSX Sall3 Lmo1 Gaba,1,#00FFD0
61,root/CNU-HYa GABA/MEA-BST Sox6 Gaba,1,#66360F
62,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba,1,#FCFF4D
63,root/CNU-HYa GABA/MEA-BST Lhx6 Nr2e1 Gaba,1,#995C70
64,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba,1,#990063
65,root/CNU-HYa GABA/CEA-BST Gal Avp Gaba,1,#2E6637
66,root/CNU-HYa GABA/SI-MA-ACB Ebf1 Bnc2 Gaba,1,#5CBCCC
67,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba,1,#73C1FF
68,root/CNU-HYa GABA/ACB-BST-FS D1 Gaba,1,#FF4026
69,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba,1,#26FFAD
70,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba,1,#FF004F
71,root/CNU-HYa GABA/MPN-MPO-LPO Lhx6 Zfhx3 Gaba,1,#26C2FF
72,root/CNU-HYa GABA/BST Tac2 Gaba,1,#71FF4D
73,root/HY GABA/TMv-PMv Tbx3 Hist-Gaba,1,#2E664D
74,root/HY GABA/RT-ZI Gnb3 Gaba,1,#CCB65C
75,root/HY GABA/SCH Six6 Cdc14a Gaba,1,#FFBC4D
76,root/HY GABA/DMH Prdm13 Gaba,1,#179972
77,root/HY GABA/PVHd Gsc Gaba,1,#3B1FCC
78,root/HY GABA/PVHd-SBPV Six3 Prox1 Gaba,1,#2E3D66
79,root/HY GABA/AHN Onecut3 Gaba,1,#553D66
80,root/HY GABA/ZI Pax6 Gaba,1,#73FFCF
81,root/HY GABA/DMH-LHA Gsx1 Gaba,1,#992A00
82,root/HY GABA/PVHd-DMH Lhx6 Gaba,1,#73F8FF
83,root/HY GABA/TU-ARH Otp Six6 Gaba,1,#2E0F66
84,root/HY GABA/TMd-DMH Foxd2 Gaba,1,#3DCC9E
85,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba,1,#3D4566
86,root/HY GABA/DMH Hmx2 Gaba,1,#FFB473
87,root/HY GABA/ARH-PVp Tbx3 Gaba,1,#CC3D76
88,root/HY GABA/LGv-ZI Otx2 Gaba,1,#664DFF
89,root/CNU-HYa Glut/BST-po Iigp1 Glut,1,#973DCC
90,root/CNU-HYa Glut/TRS-BAC Sln Glut,1,#500F66
91,root/CNU-HYa Glut/MEA-COA-BMA Ccdc42 Glut,1,#660F5A
92,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut,1,#EDFF99
93,root/CNU-HYa Glut/MS-SF Bsx Glut,1,#1F6641
94,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut,1,#1100CC
95,root/CNU-HYa Glut/LHA Barhl2 Glut,1,#5C9995
96,root/CNU-HYa Glut/ADP-MPO Trp73 Glut,1,#00CC6A
97,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut,1,#352E66
98,root/CNU-HYa Glut/LHA-MEA Otp Glut,1,#1FCCCA
99,root/HY Glut/DMH Nkx2-4 Glut,1,#FF73C8
100,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut,1,#CC1F92
101,root/HY Glut/DMH Hmx2 Glut,1,#2F6600
102,root/HY Glut/ARH-PVp Tbx3 Glut,1,#CC4B1F
103,root/HY Glut/DMH-LHA Vgll2 Glut,1,#391799
104,root/HY Glut/VMH Fezf1 Glut,1,#00CBFF
105,root/HY Glut/VMH Nr5a1 Glut,1,#5CCCB1
106,root/HY Glut/LHA Pmch Glut,1,#B100CC
107,root/HY Glut/PVH-SO-PVa Otp Glut,1,#603DCC
108,root/HY Glut/STN-PSTN Pitx2 Glut,1,#CC0048
109,root/HY Glut/PMv-TMv Pitx2 Glut,1,#3D5566
110,root/HY Glut/PH-an Pitx2 Glut,1,#66441F
111,root/HY Glut/PH Pitx2 Glut,1,#5C6D99
112,root/HY Glut/PH-LHA Foxb1 Glut,1,#7C2E99
113,root/HY Glut/PMd-LHA Foxb1 Glut,1,#5C9965
114,root/HY Glut/PH-SUM Foxa1 Glut,1,#991793
115,root/HY Gnrh1 Glut/HY Gnrh1 Glut,1,#7A9ACC
116,root/HY MM Glut/MM-ant Foxb1 Glut,1,#66662E
117,root/HY MM Glut/MM Foxb1 Glut,1,#FF2677
118,root/MH-LH Glut/MH Tac2 Glut,1,#3D8ACC
119,root/MH-LH Glut/LH Pou4f1 Sox1 Glut,1,#CC7A9D
120,root/TH Glut/AD Serpinb7 Glut,1,#FF7383
121,root/TH Glut/AV Col27a1 Glut,1,#16f2f2
122,root/TH Glut/PVT-PT Ntrk1 Glut,1,#5C8599
123,root/TH Glut/CM-IAD-CL-PCN Sema5b Glut,1,#076600
124,root/TH Glut/TH Prkcd Grin2c Glut,1,#CCC300
125,root/TH Glut/RE-Xi Nox4 Glut,1,#663D57
126,root/TH Glut/MG-POL-SGN Nts Glut,1,#992E38
127,root/TH Glut/PF Fzd5 Glut,1,#1C0099
128,root/MB Glut/PRC-PAG Pax6 Glut,1,#3D6566
129,root/MB Glut/MB-ant-ve Dmrta2 Glut,1,#99862E
130,root/MB Glut/RN Spp1 Glut,1,#FF514D
131,root/MB Glut/MRN-PAG Nkx6-1 Glut,1,#B6FF4D
132,root/MB Glut/IF-RL-CLI-PAG Foxa1 Glut,1,#63FF26
133,root/MB Glut/PAG-SC Neurod2 Meis2 Glut,1,#2E7799
134,root/MB Glut/PAG Pou4f3 Glut,1,#CC3DA3
135,root/MB Glut/CUN Evx2 Lhx2 Glut,1,#CCC27A
136,root/MB Glut/APN C1ql2 Glut,1,#5C64CC
137,root/MB Glut/APN C1ql4 Glut,1,#1FCC4D
138,root/MB Glut/PAG-MRN Pou3f1 Glut,1,#FF9D26
139,root/MB Glut/PAG-MRN Tfap2b Glut,1,#82995C
140,root/MB Glut/PAG Pou4f1 Ebf2 Glut,1,#F2FF73
141,root/MB Glut/PAG Pou4f2 Glut,1,#990027
142,root/MB Glut/PAG Pou4f2 Mesi2 Glut,1,#5FCC5C
143,root/MB Glut/SC Bnc2 Glut,1,#CC3D9D
144,root/MB Glut/SCig Foxb1 Glut,1,#47FF26
145,root/MB Glut/SCig-an-PPT Foxb1 Glut,1,#453D66
146,root/MB Glut/SCig Foxb1 Otx2 Glut,1,#5C73CC
147,root/MB Glut/SCdg-PAG Tfap2b Glut,1,#7ACCBE
148,root/MB Glut/SCiw Pitx2 Glut,1,#50662E
149,root/MB Glut/IC Tfap2d Maf Glut,1,#6C1799
